file_name,user_name,notebook_name,libraries,num_lib
tonypythoneer_titanic-try-to-make-complex.html,tonypythoneer,titanic-try-to-make-complex,"['pprint', 'pandas', 'numpy', 'random', 'seaborn', 'matplotlib', 'sklearn']",7
anshita2794_titanic-survival-problem-sample.html,anshita2794,titanic-survival-problem-sample,"['pandas', 'numpy', 'matplotlib', 'seaborn', 'sklearn']",5
sharma98_titanic-top-4.html,sharma98,titanic-top-4,"['numpy', 'pandas', 'os', 'sklearn']",4
greenarrow2018_titanic-prediction.html,greenarrow2018,titanic-prediction,"['numpy', 'pandas', 'os', 'matplotlib', 'seaborn', 'sklearn']",6
econundrums_titanic-notebook.html,econundrums,titanic-notebook,"['pandas', 'numpy', 'seaborn', 'matplotlib', 'sklearn', 'statsmodels', 'keras']",7
itachiuchiha10_survival-titanic.html,itachiuchiha10,survival-titanic,"['pandas', 'numpy', 'matplotlib', 'seaborn', 'sklearn']",5
samuelhei_titanic-logistic-regression.html,samuelhei,titanic-logistic-regression,"['numpy', 'pandas', 'sklearn', 'os', 're']",5
sudeeshvarier_titanic-logistic-regression-analysis-ml.html,sudeeshvarier,titanic-logistic-regression-analysis-ml,"['numpy', 'pandas', 'matplotlib', 'seaborn', 'cufflinks', 'os', 'sklearn']",7
plasticgrammer_titanic-training.html,plasticgrammer,titanic-training,"['numpy', 'pandas', 'seaborn', 'matplotlib', 'sklearn', 'lightgbm', 'shap']",7
andreoliveira1992_titanic-andre.html,andreoliveira1992,titanic-andre,"['random', 'time', 'warnings', 'sys', 'os', 'scipy', 'numpy', 'pandas', 'IPython', 'matplotlib', 'seaborn', 'sklearn', 'xgboost', 'subprocess']",14
jatinmittal0001_titanic-challenge-ensemble.html,jatinmittal0001,titanic-challenge-ensemble,"['numpy', 'pandas', 'matplotlib', 'sklearn', 'seaborn', 'os', 'xgboost', 'KFold\\nkf']",8
buraky1_titanic-eda-example.html,buraky1,titanic-eda-example,"['numpy', 'pandas', 'matplotlib', 'seaborn', 'collections', 'warnings', 'os']",7
backtosept_titanic-data-science-solutions-488442.html,backtosept,titanic-data-science-solutions-488442,"['pandas', 'numpy', 'random', 'seaborn', 'matplotlib', 'sklearn']",6
niranjana55_titanic-prb.html,niranjana55,titanic-prb,"['numpy', 'pandas', 'os', 'matplotlib', 'seaborn', 'warnings', 'sklearn']",7
roarki_a-journey-through-titanic.html,roarki,a-journey-through-titanic,"['pandas', 'numpy', 'matplotlib', 'seaborn', 'sklearn']",5
mzr2017_titanic-best-working-classifier.html,mzr2017,titanic-best-working-classifier,"['numpy', 'pandas', 're', 'matplotlib', 'seaborn', 'sklearn']",6
clumsyeater_the-titanic-project.html,clumsyeater,the-titanic-project,"['numpy', 'pandas', 'subprocess']",3
yangsudlor_titanic.html,yangsudlor,titanic,"['numpy', 'pandas', 'matplotlib', 'torch', 'sklearn', 'random']",6
ashvsmay00_titanic-data-science-solutions-83f146.html,ashvsmay00,titanic-data-science-solutions-83f146,"['pandas', 'numpy', 'random', 'seaborn', 'matplotlib', 'sklearn']",6
ojaswiawasthi_titanic-datatset-submission-logistic-regression.html,ojaswiawasthi,titanic-datatset-submission-logistic-regression,"['numpy', 'pandas', 'os', 'sklearn']",4
mukultiwari_titanic-top-14-with-random-forest.html,mukultiwari,titanic-top-14-with-random-forest,"['pandas', 'matplotlib', 'seaborn', 'numpy', 'xgboost', 'sklearn', 'warnings', 'GridSearchCV']",8
someshugar_titanic-data-eda-and-prediction-model.html,someshugar,titanic-data-eda-and-prediction-model,"['numpy', 'pandas', 'os', 'matplotlib', 'seaborn', 'datasets', 'sklearn']",7
yuanic_bax452-hw1-titanic.html,yuanic,bax452-hw1-titanic,"['numpy', 'pandas', 'matplotlib', 'seaborn', 'sklearn', 'math']",6
evan8899_titanic-data-science-solutions.html,evan8899,titanic-data-science-solutions,"['pandas', 'numpy', 'random', 'seaborn', 'matplotlib', 'sklearn']",6
waiyankhinemyo_titanic-logistics-regression-knn-decision-tree.html,waiyankhinemyo,titanic-logistics-regression-knn-decision-tree,"['pandas', 'numpy', 'matplotlib', 'math', 'seaborn', 'mpl_toolkits', 'time', 'datetime', 'os', 'sklearn']",10
sunnynevarekar_titanic-survival-prediction.html,sunnynevarekar,titanic-survival-prediction,"['numpy', 'pandas', 'matplotlib', 'seaborn', 'sklearn', 'warnings', 'joblib', 'time']",8
kaushikmishra_titanicpredictor.html,kaushikmishra,titanicpredictor,"['numpy', 'pandas', 'os', 'matplotlib', 'seaborn', 'tensorflow', 'keras', 'sklearn', 'scipy']",9
ioanaandreeaanton_titanic-competition.html,ioanaandreeaanton,titanic-competition,"['numpy', 'pandas', 'matplotlib', 'os', 'sklearn']",5
parakhsrivastava_titanic-survival-beginners.html,parakhsrivastava,titanic-survival-beginners,"['numpy', 'pandas', 'matplotlib', 'seaborn', 'sklearn']",5
pankajb64_a-journey-through-titanic.html,pankajb64,a-journey-through-titanic,"['pandas', 'numpy', 'matplotlib', 'seaborn', 'sklearn']",5
lemoinef_titanic-data-exploration-and-visualization.html,lemoinef,titanic-data-exploration-and-visualization,"['numpy', 'pandas', 'matplotlib', 'subprocess']",4
luke3d_titanic-random-forest-82-78.html,luke3d,titanic-random-forest-82-78,"['os', 'pandas', 'numpy', 'seaborn', 'matplotlib', 'sklearn']",6
rohitmahor_titanic-problem.html,rohitmahor,titanic-problem,"['numpy', 'pandas', 'matplotlib', 'os', 'sklearn', 're']",6
currypurin_titanic-lightgbm-ex-ver2.html,currypurin,titanic-lightgbm-ex-ver2,"['pandas', 'numpy', 'lightgbm', 'sklearn', 'warnings', 'os']",6
yasermarey_predicting-survival-of-titanic-passengers-with-dnn.html,yasermarey,predicting-survival-of-titanic-passengers-with-dnn,"['pandas', 'numpy', 'matplotlib', 'seaborn', 'tensorflow', 'sklearn']",6
